# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 4.000000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	2.039763e-04	1.596222e-03	4.244828e-04	4.162177e-04	8.265108e-06
1             	-7.156953e-25	8.369845e-02	-3.341363e-24	-2.386377e-24	-9.549861e-25
2             	2.136058e-25	6.994033e-02	-8.936431e-24	-4.254610e-24	-4.681821e-24
3             	1.532144e-23	7.064234e-03	1.598896e-23	2.331592e-23	-7.326964e-24
4             	-2.614377e-23	-4.417384e-02	-4.717352e-23	-4.973052e-23	2.557007e-24
5             	-2.231832e-23	-4.252218e-02	-3.266130e-23	-3.864897e-23	5.987670e-24
6             	-9.639421e-24	-1.412831e-02	-4.411532e-23	-3.169708e-23	-1.241824e-23
7             	6.586637e-24	1.446220e-02	1.516134e-23	1.416730e-23	9.940316e-25
8             	3.237602e-23	2.934146e-02	5.536599e-23	6.005902e-23	-4.693022e-24
9             	-3.723341e-24	2.509718e-02	-3.554102e-23	-2.149385e-23	-1.404717e-23
10            	2.846701e-23	7.484525e-03	2.612589e-23	4.152996e-23	-1.540407e-23
11            	2.120887e-23	-4.927719e-03	-2.806311e-24	1.980572e-23	-2.261203e-23
12            	-4.083011e-23	-6.134484e-03	-1.449115e-22	-1.132858e-22	-3.162562e-23
13            	-1.324667e-23	-2.786288e-03	-4.435391e-23	-3.542362e-23	-8.930286e-24
14            	2.145675e-23	4.239940e-03	9.385457e-23	6.838403e-23	2.547054e-23
15            	-1.352248e-23	1.105512e-02	-1.463910e-23	-2.084203e-23	6.202931e-24
16            	-6.920275e-23	1.351763e-02	-2.818376e-22	-2.101215e-22	-7.171603e-23
17            	-1.127773e-23	7.769154e-03	-1.791363e-22	-1.008459e-22	-7.829041e-23
18            	-5.218466e-24	1.376310e-03	-1.199491e-22	-6.519301e-23	-5.475608e-23
19            	-1.004863e-23	-1.685271e-03	-3.220452e-23	-2.615088e-23	-6.053632e-24
20            	-6.811501e-24	-4.393809e-04	1.110010e-22	4.868898e-23	6.231198e-23
21            	-1.871429e-23	3.015579e-03	2.221865e-23	-7.604961e-24	2.982361e-23
22            	-3.208849e-23	6.250314e-03	-2.614285e-22	-1.628028e-22	-9.862577e-23
23            	-1.864372e-23	5.669896e-03	-2.159381e-22	-1.266128e-22	-8.932531e-23
24            	1.152832e-22	3.422239e-03	2.264610e-22	2.285137e-22	-2.052658e-24
25            	-8.524501e-23	1.222924e-03	-2.802198e-22	-2.253549e-22	-5.486489e-23
26            	-1.635475e-23	1.532252e-03	-4.304860e-23	-3.787906e-23	-5.169547e-24
27            	-4.066537e-23	1.754543e-03	-5.979731e-23	-7.056402e-23	1.076671e-23
28            	-2.016772e-23	1.652012e-03	8.769415e-24	-1.578302e-23	2.455243e-23
29            	3.588087e-23	2.521105e-03	1.473060e-22	1.095339e-22	3.777214e-23
30            	1.252416e-22	3.557125e-03	4.151956e-22	3.328394e-22	8.235622e-23
31            	5.339255e-23	2.855206e-03	2.171280e-22	1.619566e-22	5.517146e-23
32            	-4.349243e-23	2.253404e-03	-1.118294e-22	-9.940711e-23	-1.242226e-23
33            	-9.692333e-23	1.606134e-03	-2.069075e-22	-2.003771e-22	-6.530425e-24
34            	1.850657e-23	1.342680e-03	9.279332e-23	6.490323e-23	2.789009e-23
35            	-2.018829e-24	1.960326e-03	-2.546734e-23	-1.475250e-23	-1.071484e-23
36            	-9.929099e-23	2.993955e-03	-3.614033e-22	-2.799926e-22	-8.141067e-23
37            	3.427605e-23	3.043499e-03	-1.760563e-23	2.547323e-23	-4.307886e-23
38            	-1.030076e-22	2.745242e-03	-1.579789e-22	-1.819970e-22	2.401812e-23
39            	-4.387487e-23	2.163076e-03	-3.113506e-23	-5.944241e-23	2.830734e-23
40            	-1.752055e-23	1.862941e-03	-4.957012e-23	-4.230561e-23	-7.264509e-24
41            	1.954978e-23	1.716627e-03	1.439129e-23	2.674542e-23	-1.235413e-23
42            	-2.086327e-23	2.166759e-03	-7.624628e-23	-5.898640e-23	-1.725987e-23
43            	1.219557e-23	2.351775e-03	-5.825571e-24	9.282783e-24	-1.510835e-23
44            	-8.057205e-23	2.320959e-03	-2.353560e-22	-1.982501e-22	-3.710596e-23
45            	-3.778043e-23	2.437526e-03	-1.146200e-22	-9.509043e-23	-1.952957e-23
46            	6.288696e-23	2.424034e-03	1.355195e-22	1.306467e-22	4.872800e-24
47            	3.991521e-23	2.339504e-03	1.219011e-22	1.008657e-22	2.103532e-23
48            	5.556028e-25	2.467545e-03	3.390926e-23	1.751023e-23	1.639903e-23
49            	2.141154e-23	2.275476e-03	6.884025e-23	5.583166e-23	1.300859e-23
50            	2.120690e-23	2.133834e-03	6.062333e-23	5.151856e-23	9.104764e-24
51            	6.778575e-24	2.131339e-03	3.004261e-23	2.179988e-23	8.242731e-24
52            	3.649822e-23	2.319024e-03	7.012764e-23	7.156204e-23	-1.434402e-24
53            	1.978885e-23	2.332412e-03	4.763212e-23	4.360491e-23	4.027210e-24
54            	2.363833e-23	2.336579e-03	4.411851e-23	4.569758e-23	-1.579075e-24
