# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 4.000000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	-1.369867e-05	3.123520e-05	1.087654e-05	-8.260399e-06	1.913694e-05
1             	-2.348791e+01	2.746336e+00	1.322446e+01	-1.687568e+01	3.010014e+01
2             	-1.829608e+01	1.855450e+00	9.109602e+00	-1.374128e+01	2.285088e+01
3             	-9.954134e+00	-2.023764e-01	-4.973030e-01	-1.020279e+01	9.705482e+00
4             	-5.213083e+00	-1.416520e+00	-5.254639e+00	-7.840403e+00	2.585764e+00
5             	-1.049916e+00	-1.099431e+00	-2.901782e+00	-2.500807e+00	-4.009749e-01
6             	-5.309654e-01	-6.523913e-03	2.100860e+00	5.194645e-01	1.581395e+00
7             	-5.819363e+00	7.402133e-01	4.711788e+00	-3.463470e+00	8.175257e+00
8             	-1.370515e+01	7.281589e-01	4.048966e+00	-1.168066e+01	1.572963e+01
9             	-1.800268e+01	1.748197e-01	1.686857e+00	-1.715925e+01	1.884610e+01
10            	-1.514310e+01	-3.374111e-01	1.105805e-01	-1.508781e+01	1.519839e+01
11            	-8.125661e+00	-4.698948e-01	2.320440e-01	-8.009639e+00	8.241683e+00
12            	-3.540837e+00	-2.216304e-01	1.500165e+00	-2.790754e+00	4.290919e+00
13            	-4.971226e+00	1.050997e-01	2.581013e+00	-3.680720e+00	6.261732e+00
14            	-1.016373e+01	2.397464e-01	2.823736e+00	-8.751860e+00	1.157560e+01
15            	-1.440833e+01	1.480170e-01	2.338750e+00	-1.323895e+01	1.557770e+01
16            	-1.483466e+01	-6.289053e-02	1.676136e+00	-1.399659e+01	1.567273e+01
17            	-1.206583e+01	-2.162914e-01	1.349701e+00	-1.139098e+01	1.274068e+01
18            	-9.040997e+00	-2.283961e-01	1.513359e+00	-8.284317e+00	9.797677e+00
19            	-8.191605e+00	-1.249620e-01	1.958661e+00	-7.212275e+00	9.170936e+00
20            	-9.607827e+00	-2.118945e-02	2.292951e+00	-8.461352e+00	1.075430e+01
21            	-1.162111e+01	1.356245e-02	2.336001e+00	-1.045311e+01	1.278911e+01
22            	-1.250370e+01	-3.489547e-02	2.133806e+00	-1.143680e+01	1.357061e+01
23            	-1.186282e+01	-1.146668e-01	1.930364e+00	-1.089764e+01	1.282801e+01
24            	-1.055067e+01	-1.678102e-01	1.873764e+00	-9.613790e+00	1.148755e+01
25            	-9.509908e+00	-1.743358e-01	1.965646e+00	-8.527085e+00	1.049273e+01
26            	-9.377712e+00	-1.402210e-01	2.135131e+00	-8.310147e+00	1.044528e+01
27            	-9.961928e+00	-1.013984e-01	2.249388e+00	-8.837234e+00	1.108662e+01
28            	-1.057773e+01	-8.589211e-02	2.263160e+00	-9.446147e+00	1.170931e+01
29            	-1.068876e+01	-1.021741e-01	2.183069e+00	-9.597222e+00	1.178029e+01
30            	-1.007849e+01	-1.374319e-01	2.080582e+00	-9.038195e+00	1.111878e+01
31            	-9.346969e+00	-1.623518e-01	2.059143e+00	-8.317398e+00	1.037654e+01
32            	-8.812677e+00	-1.680283e-01	2.093519e+00	-7.765917e+00	9.859436e+00
33            	-8.615781e+00	-1.546719e-01	2.155580e+00	-7.537991e+00	9.693572e+00
34            	-9.077311e+00	-1.425620e-01	2.185705e+00	-7.984459e+00	1.017016e+01
35            	-9.614891e+00	-1.386789e-01	2.156147e+00	-8.536817e+00	1.069296e+01
36            	-9.840507e+00	-1.442874e-01	2.066002e+00	-8.807506e+00	1.087351e+01
37            	-9.844882e+00	-1.615223e-01	1.965957e+00	-8.861903e+00	1.082786e+01
38            	-9.691382e+00	-1.778337e-01	1.899952e+00	-8.741405e+00	1.064136e+01
39            	-9.714271e+00	-1.855806e-01	1.875613e+00	-8.776465e+00	1.065208e+01
40            	-1.007733e+01	-1.866219e-01	1.860121e+00	-9.147272e+00	1.100739e+01
41            	-1.073220e+01	-1.855502e-01	1.824097e+00	-9.820147e+00	1.164424e+01
42            	-1.151571e+01	-1.877041e-01	1.738986e+00	-1.064621e+01	1.238520e+01
43            	-1.227229e+01	-1.972113e-01	1.628905e+00	-1.145783e+01	1.308674e+01
44            	-1.290417e+01	-2.104620e-01	1.522462e+00	-1.214294e+01	1.366540e+01
45            	-1.342513e+01	-2.215823e-01	1.442002e+00	-1.270413e+01	1.414613e+01
46            	-1.392042e+01	-2.275251e-01	1.391543e+00	-1.322465e+01	1.461619e+01
47            	-1.445810e+01	-2.298671e-01	1.351559e+00	-1.378232e+01	1.513387e+01
48            	-1.502137e+01	-2.318975e-01	1.302034e+00	-1.437036e+01	1.567239e+01
49            	-1.554877e+01	-2.356394e-01	1.239069e+00	-1.492924e+01	1.616831e+01
50            	-1.596234e+01	-2.404563e-01	1.177955e+00	-1.537336e+01	1.655131e+01
51            	-1.620453e+01	-2.438583e-01	1.142352e+00	-1.563336e+01	1.677571e+01
52            	-1.634211e+01	-2.450734e-01	1.131477e+00	-1.577637e+01	1.690784e+01
53            	-1.645592e+01	-2.447752e-01	1.133095e+00	-1.588938e+01	1.702247e+01
54            	-1.655958e+01	-2.436556e-01	1.138188e+00	-1.599049e+01	1.712868e+01
55            	-1.662001e+01	-2.423123e-01	1.145227e+00	-1.604740e+01	1.719262e+01
56            	-1.658467e+01	-2.404978e-01	1.156521e+00	-1.600641e+01	1.716293e+01
57            	-1.648635e+01	-2.393022e-01	1.184300e+00	-1.589420e+01	1.707850e+01
58            	-1.631915e+01	-2.379789e-01	1.224859e+00	-1.570672e+01	1.693157e+01
59            	-1.608266e+01	-2.358872e-01	1.276915e+00	-1.544421e+01	1.672112e+01
60            	-1.577281e+01	-2.325920e-01	1.336322e+00	-1.510465e+01	1.644097e+01
61            	-1.539357e+01	-2.282252e-01	1.399460e+00	-1.469384e+01	1.609330e+01
62            	-1.496041e+01	-2.234463e-01	1.471795e+00	-1.422451e+01	1.569630e+01
63            	-1.449685e+01	-2.187175e-01	1.544282e+00	-1.372471e+01	1.526899e+01
64            	-1.403211e+01	-2.145933e-01	1.614461e+00	-1.322488e+01	1.483934e+01
65            	-1.358603e+01	-2.107963e-01	1.677994e+00	-1.274703e+01	1.442503e+01
66            	-1.312402e+01	-2.068410e-01	1.742388e+00	-1.225283e+01	1.399522e+01
67            	-1.263446e+01	-2.024430e-01	1.810211e+00	-1.172935e+01	1.353956e+01
68            	-1.209374e+01	-1.974688e-01	1.890753e+00	-1.114836e+01	1.303911e+01
69            	-1.148398e+01	-1.913796e-01	1.973065e+00	-1.049745e+01	1.247052e+01
70            	-1.102837e+01	-1.873812e-01	2.026997e+00	-1.001487e+01	1.204187e+01
71            	-1.064552e+01	-1.843985e-01	2.072162e+00	-9.609435e+00	1.168160e+01
72            	-1.029420e+01	-1.816332e-01	2.115315e+00	-9.236547e+00	1.135186e+01
73            	-9.968958e+00	-1.789950e-01	2.156668e+00	-8.890624e+00	1.104729e+01
74            	-9.673719e+00	-1.766225e-01	2.193382e+00	-8.577028e+00	1.077041e+01
75            	-9.443296e+00	-1.751398e-01	2.220204e+00	-8.333194e+00	1.055340e+01
76            	-9.295369e+00	-1.748268e-01	2.235642e+00	-8.177548e+00	1.041319e+01
77            	-9.236587e+00	-1.757395e-01	2.239122e+00	-8.117026e+00	1.035615e+01
78            	-9.263645e+00	-1.777086e-01	2.231531e+00	-8.147879e+00	1.037941e+01
79            	-9.375467e+00	-1.805251e-01	2.213711e+00	-8.268612e+00	1.048232e+01
80            	-9.553570e+00	-1.840908e-01	2.187228e+00	-8.459956e+00	1.064718e+01
81            	-9.780404e+00	-1.881871e-01	2.148105e+00	-8.706351e+00	1.085446e+01
82            	-1.006878e+01	-1.927641e-01	2.103104e+00	-9.017230e+00	1.112033e+01
83            	-1.041347e+01	-1.977747e-01	2.053669e+00	-9.386637e+00	1.144031e+01
84            	-1.081097e+01	-2.032504e-01	1.999616e+00	-9.811162e+00	1.181078e+01
85            	-1.125938e+01	-2.092246e-01	1.940495e+00	-1.028913e+01	1.222963e+01
86            	-1.175470e+01	-2.156919e-01	1.876011e+00	-1.081670e+01	1.269271e+01
87            	-1.228286e+01	-2.224591e-01	1.806904e+00	-1.137941e+01	1.318631e+01
88            	-1.286802e+01	-2.296958e-01	1.730644e+00	-1.200270e+01	1.373334e+01
89            	-1.339656e+01	-2.363895e-01	1.661390e+00	-1.256587e+01	1.422726e+01
90            	-1.392930e+01	-2.429431e-01	1.590157e+00	-1.313422e+01	1.472438e+01
91            	-1.438464e+01	-2.484605e-01	1.536176e+00	-1.361655e+01	1.515272e+01
92            	-1.480644e+01	-2.535303e-01	1.490160e+00	-1.406136e+01	1.555152e+01
93            	-1.520937e+01	-2.584803e-01	1.447169e+00	-1.448578e+01	1.593295e+01
94            	-1.558594e+01	-2.632463e-01	1.406953e+00	-1.488247e+01	1.628942e+01
95            	-1.591389e+01	-2.675498e-01	1.371056e+00	-1.522836e+01	1.659942e+01
